sample_id	begin	end	type	extraction	mistake_type
1	68	79	product-weapon	2 pounder gun	FN
1	83	94	product-weapon	machine-gun	FN
5	59	71	event-attack/battle/war/militaryconflict	Guam campaign	FP
5	59	63	location-GPE	Guam	FN
6	221	230	art-broadcastprogram	Doc Elliot	FP
6	530	545	art-broadcastprogram	Three for the Road	FP
6	396	406	art-broadcastprogram	The Waltons	FP
6	77	85	art-broadcastprogram	Gunsmoke	FP
6	347	359	art-broadcastprogram	Barbary Coast	FP
6	626	636	art-broadcastprogram	Dirty Sally	FP
6	182	200	art-broadcastprogram	The Partridge Family	FP
6	451	457	art-broadcastprogram	Cannon	FP
6	573	585	art-broadcastprogram	Barnaby Jones	FP
6	285	309	art-broadcastprogram	Love and the Model Apartment	FP
6	347	359	art-other	Barbary Coast	FN
6	77	85	art-other	Gunsmoke	FN
6	182	200	art-other	The Partridge Family	FN
6	626	636	art-other	Dirty Sally	FN
6	451	457	art-other	Cannon	FN
6	573	585	art-other	Barnaby Jones	FN
6	285	309	art-other	Love and the Model Apartment	FN
6	256	274	art-other	Love , American Style	FN
6	221	230	art-other	Doc Elliot	FN
6	530	545	art-other	Three for the Road	FN
6	396	406	art-other	The Waltons	FN
7	179	182	organization-sportsleague	PFG	FP
7	48	56	location-GPE	Romanian	FP
7	178	182	organization-sportsleague	A PFG	FN
7	48	60	location-GPE	Romanian Liga	FN
9	70	77	art-other	The Wall	FP
9	9	27	person-other	William T. Perkins Jr	FP
9	9	28	person-soldier	William T. Perkins Jr .	FN
9	70	77	building-other	The Wall	FN
10	83	86	art-writtenart	The	FP
10	131	136	art-writtenart	Blood	FP
10	131	143	art-other	Blood Wedding	FN
10	83	105	art-other	The Good Woman of Szechuan	FN
11	87	96	person-other	Ayyavazhi	FP
11	87	96	art-writtenart	Ayyavazhi	FN
12	41	47	product-other	Laser 2	FP
12	41	47	product-ship	Laser 2	FN
12	18	22	product-ship	3000	FN
13	77	84	location-GPE	UK Asian	FP
14	35	40	person-other	Hawke	FP
14	174	196	organization-other	Town and Country building	FP
14	310	319	location-GPE	Australia	FP
14	20	33	person-other	Laurie Connell	FP
14	55	66	person-other	John Roberts	FP
14	35	40	person-politician	Hawke	FN
14	111	120	organization-company	Multiplex	FN
14	20	34	person-other	Laurie Connell ,	FN
14	174	188	organization-media/newspaper	Town and Country	FN
14	55	66	person-politician	John Roberts	FN
15	34	39	event-sportsevent	World	FP
18	0	9	person-other	Feinstein	FP
18	0	9	person-politician	Feinstein	FN
20	3	11	location-GPE	Cherokee	FN
22	0	6	location-GPE	Europe	FN
24	94	140	organization-politicalparty	International Committee of the Fourth International	FP
24	141	145	organization-politicalparty	ICFI	FP
24	94	140	organization-other	International Committee of the Fourth International	FN
24	141	145	organization-other	ICFI	FN
25	42	48	organization-sportsteam	Red Sox	FP
25	19	24	person-athlete	Azcue	FP
25	98	114	organization-sportsteam	California Angels	FP
25	19	24	person-other	Azcue	FN
25	42	48	organization-showorganization	Red Sox	FN
25	98	114	organization-showorganization	California Angels	FN
30	105	131	other-chemicalthing	Zr ( OH ) 4-n ( O2CCHOHCH3 ) n ( H2O	FP
30	105	133	other-chemicalthing	Zr ( OH ) 4-n ( O2CCHOHCH3 ) n ( H2O ) x	FN
30	138	149	other-chemicalthing	1 & lt ; n & lt ; 3	FN
31	101	103	organization-other	QS	FP
31	101	126	other-award	QS World University Rankings	FN
33	130	142	building-theater	Théâtre Libre	FP
33	130	142	person-other	Théâtre Libre	FN
34	55	61	location-GPE	Meulan	FP
36	30	43	other-chemicalthing	phenylalanine	FN
40	0	16	location-road/railway/highway/transit	Gold Coast Highway	FP
43	54	61	product-other	Surface	FP
43	0	5	product-software	Skype	FN
43	54	64	product-software	Surface Hub	FN
45	21	25	person-artist/author	Dean	FP
45	21	25	person-director	Dean	FN
47	0	6	location-GPE	Borneo	FP
47	24	36	location-island	Borneo island	FP
47	51	61	location-GPE	Kalimantan	FP
47	0	6	location-island	Borneo	FN
47	24	30	location-island	Borneo	FN
47	51	61	location-island	Kalimantan	FN
49	59	61	other-chemicalthing	pH	FP
49	0	13	other-chemicalthing	Azidocoumarin	FP
50	33	51	organization-company	J.P. Morgan & amp ; Co.	FP
50	175	192	other-law	Glass–Steagall Act	FP
50	172	192	other-law	the Glass–Steagall Act	FN
50	33	43	person-other	J.P. Morgan	FN
53	48	57	building-other	Aston Hall	FP
53	32	39	person-politician	Leveson	FP
53	32	39	person-soldier	Leveson	FN
53	48	57	person-soldier	Aston Hall	FN
54	29	40	other-biologything	ATP synthase	FP
54	29	32	other-biologything	ATP	FN
55	4	33	location-park	Friends of Eden Gardens State Park	FP
55	4	33	organization-other	Friends of Eden Gardens State Park	FN
56	24	37	person-artist/author	Samuel Beckett	FP
56	24	37	person-other	Samuel Beckett	FN
59	83	89	person-other	Athena	FP
59	99	102	organization-company	SNK	FP
59	99	102	product-game	SNK	FN
59	75	89	person-other	Princess Athena	FN
61	85	88	other-biologything	neu	FN
64	53	66	organization-sportsteam	West Ham United	FP
64	53	66	location-GPE	West Ham United	FN
67	54	67	building-hotel	Flamingo Hotel	FP
67	51	67	building-hotel	the Flamingo Hotel	FN
68	14	25	other-medical	beta-lactam	FP
68	14	35	other-medical	beta-lactam antibiotic	FN
69	153	156	location-GPE	Ste	FP
69	153	156	product-weapon	Ste	FN
71	11	16	person-artist/author	Asser	FP
72	32	41	organization-religion	Nestorian	FP
72	123	128	person-other	Cyril	FP
72	84	93	person-other	Theodotus	FN
72	114	128	person-other	Patriarch Cyril	FN
73	62	69	location-GPE	Chinese	FP
73	30	35	product-food	jiang	FP
73	30	40	product-food	jiang Doufu	FN
73	41	52	product-food	sesame paste	FN
73	56	81	product-food	salted Chinese chives flower	FN
76	121	128	other-currency	ringgit	FP
76	68	72	other-currency	KLSE	FP
77	61	70	product-car	Moon Buggy	FN
82	10	17	location-GPE	Lebanon	FP
82	47	59	location-GPE	Arab-Israeli	FP
82	47	59	building-airport	Arab-Israeli	FN
83	44	54	location-GPE	Fort Gordon	FP
83	44	54	location-other	Fort Gordon	FN
83	82	85	other-educationaldegree	PhD	FN
85	33	37	person-other	Hu Bo	FP
85	33	37	person-director	Hu Bo	FN
85	81	94	other-educationaldegree	Film Directing	FN
87	273	279	organization-government/governmentagency	Earthy	FP
87	174	211	organization-government/governmentagency	Intergovernmental Panel on Climate Change	FP
87	52	66	event-other	Bhopal disaster	FP
87	69	89	event-other	Learning from Disaster	FP
87	52	66	event-disaster	Bhopal disaster	FN
